bbc14,008937,2016 Fall Term,3.8,9.5,2.9,8.5
kao24,009973,2013 Spring Term,0.9,8.9,2.1,5.3
rdt21,007727,2013 Fall Term,5.3,8.2,8.0,7.4
sf191,022565,2018 Fall Term,8.0,5.7,3.7,1.4
fnh4,020339,2015 Spring Term,7.8,2.2,4.5,0.3
bakay02c,014541,2016 Spring Term,9.4,8.5,1.0,4.2
gpg9,007035,2013 Spring Term,8.4,0.5,3.2,6.9
mx30,010809,2016 Spring Term,2.2,2.5,1.8,4.1
al302,013767,2018 Spring Term,5.4,1.8,4.0,8.8
cer46,015963,2015 Fall Term,9.8,4.8,9.3,4.9
ngs7,018275,2014 Spring Term,1.0,8.1,3.5,6.8
ear54,000608,2014 Spring Term,9.9,0.1,9.2,8.9
ak509,017306,2017 Spring Term,4.7,8.6,9.3,0.5
vlg8,008996,2016 Fall Term,8.3,6.1,2.8,5.5
rds72,020549,2014 Spring Term,6.3,9.0,9.6,0.0
yf59,023790,2017 Fall Term,8.9,5.6,9.9,8.2
ry67,024536,2018 Fall Term,8.6,8.7,6.1,5.4
mfs36,022499,2016 Fall Term,4.8,5.7,1.4,9.8
rb313,017601,2016 Fall Term,9.2,0.0,0.7,0.6
mem100,024043,2016 Spring Term,3.6,0.2,4.1,6.0
thorn02c,016428,2016 Fall Term,5.5,8.6,4.0,0.1
nah36,001677,2014 Fall Term,5.1,0.7,4.0,5.9
cc452,005770,2017 Spring Term,8.1,7.1,5.2,0.8
egb16,025304,2018 Fall Term,7.4,0.2,4.2,2.9
bbb21,024904,2017 Fall Term,6.0,7.6,6.8,4.6
js668,019033,2013 Spring Term,1.5,5.5,0.0,7.6
ker40,023825,2017 Fall Term,8.6,0.4,4.4,5.5
ars103,008146,2019 Spring Term,5.7,3.6,9.8,9.5
oct3,007164,2015 Fall Term,5.3,1.8,3.8,7.1
ca135,003273,2018 Spring Term,9.9,0.7,5.7,0.7
tn85,010237,2016 Fall Term,9.5,1.6,2.0,0.0
sun03g,022532,2015 Spring Term,5.8,7.6,4.4,2.6
ac496,022629,2014 Spring Term,4.6,7.2,9.7,8.3
slg75,023644,2015 Fall Term,6.6,9.7,5.0,5.4
am533,020518,2017 Spring Term,1.7,0.6,2.4,1.0
cbp22,025280,2018 Fall Term,7.0,6.4,4.9,2.5
jwt22,017450,2016 Spring Term,1.7,5.7,8.2,4.8
per3,004659,2014 Fall Term,7.0,5.4,6.3,2.7
jt272,014956,2015 Spring Term,9.7,5.1,9.2,8.4
av124,013594,2016 Fall Term,2.1,7.2,2.2,1.8
js751,024551,2018 Spring Term,8.9,9.9,9.8,7.4
edb32,015228,2015 Spring Term,3.9,2.5,9.9,3.6
jgh30,025149,2019 Spring Term,6.9,1.6,0.8,7.6
aeb100,024775,2019 Spring Term,4.1,0.1,1.5,8.7
xl266,020263,2013 Spring Term,1.4,6.7,9.0,4.5
yl559,004016,2015 Spring Term,3.9,9.3,8.2,6.9
lcd26,001704,2015 Spring Term,6.7,6.9,3.1,6.2
jpw46,014979,2014 Fall Term,2.0,3.9,7.4,6.4
clp40,017885,2017 Spring Term,5.5,7.2,5.4,4.5
kmm84,023276,2017 Spring Term,3.6,3.2,4.7,2.4
dak36,015006,2016 Spring Term,4.3,4.5,4.6,3.0
cmh130,003765,2013 Fall Term,2.3,8.9,8.6,9.2
lml53,017360,2017 Spring Term,2.7,5.4,2.6,0.4
tz37,023299,2016 Spring Term,6.3,3.3,2.0,5.5
jss105,021670,2016 Fall Term,8.7,8.7,7.6,8.9
ai66,019372,2014 Fall Term,1.9,1.3,0.1,3.1
xh82,024124,2017 Spring Term,2.0,0.7,7.3,4.6
slf39,008233,2017 Fall Term,7.8,5.7,8.9,7.2
gla12,018960,2018 Fall Term,1.5,5.0,7.8,7.8
sgw23,002669,2016 Spring Term,4.0,2.2,7.7,3.2
cz63,012996,2017 Spring Term,4.9,0.0,7.2,0.8
djp52,020061,2013 Fall Term,7.3,5.6,1.5,2.7
cpe4,017491,2018 Fall Term,2.5,9.6,4.8,4.2
cjd69,020471,2012 Fall Term,4.9,7.7,3.9,8.5
mg332,003422,2016 Spring Term,9.0,6.3,6.8,0.7
rmp31,004200,2012 Fall Term,1.2,9.4,1.1,7.4
fl55,018466,2015 Fall Term,1.4,3.5,7.7,4.0
ts337,023607,2018 Spring Term,6.9,5.1,2.7,9.0
zl185,023315,2016 Spring Term,0.2,5.2,8.2,7.4
fnh3,023088,2019 Spring Term,9.4,7.2,1.7,7.3
jd385,012672,2016 Spring Term,5.9,9.6,5.3,7.2
nen7,005127,2017 Fall Term,9.9,3.9,0.5,7.5
nas60,010069,2013 Fall Term,7.6,2.1,6.3,9.4
ebc21,023646,2016 Spring Term,4.1,0.2,3.2,6.6
knf10,011313,2017 Fall Term,6.6,2.0,7.8,4.4
lb253,002717,2019 Spring Term,6.1,5.0,8.9,1.6
jrd53,025265,2018 Fall Term,5.6,0.6,7.9,0.8
ep144,023488,2015 Fall Term,9.7,6.6,5.0,6.0
dmo16,002717,2013 Fall Term,5.6,1.3,9.6,7.5
ww101,007739,2015 Spring Term,1.1,1.6,0.9,9.6
mkm75,023639,2018 Spring Term,5.6,5.9,3.3,2.3
crt23,018508,2015 Spring Term,2.1,8.0,4.4,4.0
py34,020180,2018 Fall Term,4.7,1.4,5.3,4.9
rl213,025149,2019 Spring Term,7.0,8.9,5.0,1.1
wei02g,020261,2017 Fall Term,3.8,6.6,7.3,4.8
xw147,005810,2013 Spring Term,5.0,5.2,9.1,5.8
acn20,009096,2014 Spring Term,5.1,4.1,5.9,2.1
mc379,019010,2014 Spring Term,6.9,9.4,9.3,9.7
daw56,016865,2015 Fall Term,7.2,6.7,2.6,8.0
ddc27,020059,2016 Spring Term,8.7,1.8,6.3,8.9
kjj,002808,2016 Fall Term,4.6,4.5,0.3,9.0
esw27,003558,2016 Fall Term,6.3,7.7,9.8,4.2
sc614,019741,2017 Spring Term,5.4,1.3,0.0,1.2
svs12,000588,2018 Fall Term,1.6,8.9,2.7,9.8
phw11,013023,2018 Fall Term,9.6,7.2,8.9,4.1
tkm19,008522,2017 Spring Term,2.0,6.8,9.8,8.6
krm75,018366,2012 Fall Term,5.2,4.0,6.8,8.1
as904,024701,2017 Fall Term,8.3,7.3,4.4,2.5
rhd12,001623,2014 Fall Term,1.3,7.1,2.8,9.8
kzc4,024436,2017 Spring Term,9.5,7.9,8.6,5.1
